;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;
TEU;Teutonic State;;;;;;;;;;;;;;;;;;;;;;;x;;;;
TEU_ADJ;Teutonic;;;;;;;;;;;;;;;;;;;;;;;x;;;;
PRC;Polish-Ruthenian Commonwealth;;;;;;;;;;;;;;;;;;;;;;;x;;;;
PRC_ADJ;Polish-Ruthenian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
HRE;Holy Roman Empire;;;;;;;;;;;;;;;;;;;;;;;x;;;;
HRE_ADJ;Holy Roman;;;;;;;;;;;;;;;;;;;;;;;x;;;;
VEN;Venice;;;;;;;;;;;;;;;;;;;;;;;x;;;;
VEN_ADJ;Venetian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
HIS;Hispania;;;;;;;;;;;;;;;;;;;;;;;x;;;;
HIS_ADJ;Hispanic;;;;;;;;;;;;;;;;;;;;;;;x;;;;
HNF;Hanseatic Federation;;;;;;;;;;;;;;;;;;;;;;;x;;;;
HNF_ADJ;Hanseatic;;;;;;;;;;;;;;;;;;;;;;;x;;;;
HLL;Holland;;;;;;;;;;;;;;;;;;;;;;;x;;;;
HLL_ADJ;Dutch;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ZEE;Zeeland;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ZEE_ADJ;Dutch;;;;;;;;;;;;;;;;;;;;;;;x;;;;
SNU;Sweden-Norway;;;;;;;;;;;;;;;;;;;;;;;x;;;;
SNU_ADJ;Swedish-Norwegian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
BLT;Baltic Union;;;;;;;;;;;;;;;;;;;;;;;x;;;;
BLT_ADJ;Baltic;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ANT;Antioch;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ANT_ADJ;Antiochan;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ANT_absolute_monarchy;Antioch;;;;;;;;;;;;;x
